---------------------------------------------------
               坐标值         面积                  
---------------------------------------------------
              (0 , 0)          123255                  
              (0 , 34)          2                  
              (0 , 39)          1                  
              (0 , 70)          5                  
              (0 , 109)          10                  
              (0 , 123)          3                  
              (0 , 127)          7                  
              (0 , 144)          1                  
              (0 , 147)          28                  
              (0 , 167)          1                  
              (0 , 194)          1                  
              (0 , 198)          11                  
              (0 , 234)          4                  
              (0 , 244)          1                  
              (0 , 315)          1                  
              (0 , 368)          1                  
              (0 , 416)          2                  
              (0 , 433)          2                  
              (0 , 468)          16                  
              (0 , 498)          3                  
              (1 , 53)          1                  
              (1 , 238)          3                  
              (2 , 143)          1                  
              (4 , 85)          6                  
              (4 , 153)          1                  
              (8 , 108)          4                  
              (8 , 259)          1                  
              (8 , 356)          10                  
              (8 , 464)          1                  
              (8 , 466)          1                  
              (8 , 469)          6                  
              (10 , 200)          1                  
              (11 , 109)          7                  
              (12 , 36)          1                  
              (12 , 234)          1                  
              (14 , 376)          1                  
              (15 , 276)          2                  
              (16 , 180)          3                  
              (16 , 475)          1                  
              (17 , 17)          1                  
              (17 , 82)          1                  
              (17 , 135)          1                  
              (17 , 225)          1                  
              (18 , 208)          1                  
              (19 , 50)          1                  
              (20 , 127)          6                  
              (20 , 137)          2                  
              (21 , 162)          2                  
              (21 , 287)          8                  
              (21 , 363)          2                  
              (22 , 0)          6                  
              (22 , 222)          1                  
              (23 , 29)          1                  
              (23 , 255)          2                  
              (23 , 341)          1                  
              (23 , 361)          1                  
              (23 , 473)          1                  
              (25 , 2)          1                  
              (25 , 263)          2                  
              (25 , 341)          1                  
              (25 , 382)          1                  
              (25 , 428)          3                  
              (25 , 472)          1                  
              (26 , 48)          4                  
              (27 , 134)          5                  
              (27 , 286)          1                  
              (27 , 410)          1                  
              (28 , 89)          2                  
              (28 , 265)          1                  
              (29 , 87)          2                  
              (29 , 235)          4                  
              (29 , 262)          3                  
              (29 , 452)          4                  
              (30 , 311)          1                  
              (30 , 383)          1                  
              (30 , 412)          1                  
              (32 , 1)          2                  
              (35 , 178)          2                  
              (35 , 232)          2                  
              (35 , 320)          3                  
              (36 , 69)          1                  
              (36 , 444)          1                  
              (37 , 46)          1                  
              (37 , 48)          2                  
              (37 , 442)          2                  
              (38 , 361)          1                  
              (39 , 481)          1                  
              (40 , 305)          1                  
              (40 , 361)          1                  
              (40 , 499)          1                  
              (41 , 64)          1                  
              (42 , 212)          2                  
              (42 , 401)          1                  
              (42 , 465)          1                  
              (43 , 414)          1                  
              (45 , 168)          20                  
              (45 , 436)          1                  
              (46 , 7)          1                  
              (46 , 164)          3                  
              (46 , 443)          1                  
              (47 , 139)          1                  
              (47 , 254)          3                  
              (47 , 366)          2                  
              (48 , 83)          3                  
              (48 , 177)          2                  
              (49 , 499)          1                  
              (50 , 174)          6                  
              (50 , 235)          1                  
              (51 , 63)          1                  
              (52 , 71)          2                  
              (52 , 135)          1                  
              (52 , 301)          12                  
              (53 , 44)          2                  
              (54 , 134)          1                  
              (54 , 172)          1                  
              (54 , 457)          1                  
              (55 , 51)          1                  
              (56 , 91)          5                  
              (56 , 141)          1                  
              (58 , 499)          1                  
              (59 , 51)          1                  
              (60 , 144)          1                  
              (60 , 343)          1                  
