---------------------------------------------------
               坐标值         面积                  
---------------------------------------------------
              (0 , 2)          7                  
              (0 , 8)          1                  
              (0 , 10)          4                  
              (0 , 14)          2                  
              (0 , 18)          1                  
              (0 , 23)          5                  
              (0 , 30)          2                  
              (0 , 35)          1                  
              (0 , 40)          1                  
              (0 , 43)          9                  
              (0 , 49)          1                  
              (0 , 60)          1                  
              (0 , 64)          1                  
              (0 , 68)          2                  
              (0 , 72)          4                  
              (0 , 76)          6                  
              (0 , 95)          1                  
              (0 , 98)          3                  
              (1 , 20)          2                  
              (1 , 37)          7                  
              (1 , 45)          1                  
              (1 , 52)          6                  
              (1 , 57)          4                  
              (1 , 79)          7                  
              (1 , 92)          1                  
              (2 , 48)          4                  
              (2 , 87)          1                  
              (2 , 94)          2                  
              (3 , 2)          1                  
              (3 , 14)          3                  
              (3 , 18)          3                  
              (3 , 23)          10                  
              (3 , 29)          1                  
              (3 , 35)          1                  
              (3 , 89)          1                  
              (3 , 97)          1                  
              (4 , 10)          1                  
              (4 , 31)          2                  
              (4 , 66)          1                  
              (4 , 69)          8                  
              (4 , 87)          1                  
              (4 , 99)          1                  
              (5 , 16)          2                  
              (5 , 25)          2                  
              (5 , 28)          1                  
              (5 , 55)          6                  
              (5 , 61)          2                  
              (5 , 79)          1                  
              (5 , 94)          2                  
              (6 , 0)          4                  
              (6 , 3)          4                  
              (6 , 32)          1                  
              (6 , 38)          3                  
              (6 , 40)          3                  
              (6 , 44)          1                  
              (6 , 47)          2                  
              (6 , 66)          1                  
              (6 , 76)          1                  
              (6 , 99)          1                  
              (7 , 10)          1                  
              (7 , 30)          6                  
              (7 , 64)          2                  
              (7 , 73)          2                  
              (7 , 86)          3                  
              (7 , 92)          4                  
              (8 , 2)          1                  
              (8 , 7)          15                  
              (8 , 27)          1                  
              (8 , 34)          1                  
              (8 , 39)          2                  
              (8 , 42)          3                  
              (8 , 52)          2                  
              (8 , 54)          1                  
              (8 , 62)          3                  
              (8 , 77)          2                  
              (8 , 80)          1                  
              (8 , 95)          3                  
              (8 , 98)          5                  
              (9 , 9)          5                  
              (9 , 15)          2                  
              (9 , 21)          1                  
              (9 , 46)          4                  
              (9 , 57)          4                  
              (9 , 67)          1                  
              (9 , 70)          2                  
              (9 , 72)          5                  
              (9 , 82)          1                  
              (10 , 3)          1                  
              (10 , 33)          1                  
              (10 , 36)          1                  
              (10 , 44)          1                  
              (10 , 53)          2                  
              (10 , 63)          1                  
              (10 , 80)          5                  
              (11 , 0)          3                  
              (11 , 15)          6                  
              (11 , 23)          5                  
              (11 , 39)          2                  
              (11 , 55)          2                  
              (11 , 66)          1                  
              (11 , 68)          2                  
              (11 , 86)          1                  
              (11 , 88)          2                  
              (12 , 3)          5                  
              (12 , 26)          4                  
              (12 , 28)          2                  
              (12 , 32)          1                  
              (12 , 43)          1                  
              (12 , 49)          1                  
              (12 , 51)          1                  
              (12 , 90)          5                  
              (13 , 13)          1                  
              (13 , 35)          1                  
              (13 , 37)          1                  
              (13 , 57)          6                  
              (13 , 64)          8                  
              (13 , 77)          5                  
              (13 , 86)          1                  
              (13 , 93)          1                  
              (13 , 97)          4                  
              (14 , 20)          8                  
              (14 , 33)          1                  
              (14 , 39)          4                  
              (14 , 44)          2                  
              (14 , 47)          1                  
              (14 , 53)          1                  
              (14 , 61)          2                  
              (14 , 74)          1                  
              (15 , 13)          1                  
              (15 , 50)          1                  
              (15 , 86)          1                  
              (16 , 3)          2                  
              (16 , 10)          1                  
              (16 , 28)          1                  
              (16 , 30)          1                  
              (16 , 46)          8                  
              (16 , 74)          1                  
              (16 , 83)          3                  
              (16 , 93)          5                  
              (17 , 14)          2                  
              (17 , 32)          1                  
              (17 , 34)          2                  
              (17 , 36)          2                  
              (17 , 62)          3                  
              (17 , 66)          2                  
              (17 , 69)          2                  
              (17 , 71)          1                  
              (17 , 80)          1                  
              (17 , 88)          1                  
              (18 , 0)          14                  
              (18 , 28)          4                  
              (18 , 78)          26                  
              (19 , 6)          4                  
              (19 , 17)          4                  
              (19 , 22)          1                  
              (19 , 24)          1                  
              (19 , 31)          2                  
              (19 , 40)          5                  
              (19 , 44)          1                  
              (19 , 51)          6                  
              (19 , 60)          6                  
              (19 , 70)          1                  
              (19 , 81)          1                  
              (19 , 99)          1                  
              (20 , 12)          1                  
              (20 , 19)          1                  
              (20 , 35)          1                  
              (20 , 37)          1                  
              (20 , 63)          3                  
              (20 , 93)          3                  
              (21 , 26)          1                  
              (21 , 33)          1                  
              (21 , 44)          5                  
              (21 , 54)          1                  
              (21 , 96)          10                  
              (22 , 10)          11                  
              (22 , 21)          1                  
              (22 , 42)          1                  
              (22 , 63)          3                  
              (22 , 66)          1                  
              (22 , 70)          3                  
              (23 , 2)          4                  
